seed,ensemble_pair,ensemble_ext,posthoc_head,ae_pl_baseline
42,77.1281,77.96375,69.35495,75.17065000000001
43,78.05375,78.3252,69.1721,75.53410000000001
44,76.05194999999999,77.41935,66.702,75.80655
