condition,modality,pixel_auroc
C1,SSIM map,0.6880840774657204
C4,SSIM map,0.6949085202020816
C5,SSIM map,0.6341910809635285
C6,SSIM map,0.6822011674459603
C7,SSIM map,0.6972272203194221
C4,Attn map,0.3094828715651868
C5,Attn map,0.3597999583922747
C6,Attn map,0.3083311331896806
C7,Attn map,0.2989996916195234
